id,filename,expansion,cardname,txt
1,VO_ANNOUNCER_ANDUIN_12,공통,여관주인,안두인
2,VO_ANNOUNCER_ANDUIN_12_ALT1,공통,여관주인,안두인
3,VO_ANNOUNCER_ANDUIN_12_ALT2,공통,여관주인,안두인
4,VO_ANNOUNCER_ANDUIN_13,공통,여관주인,안두인
5,VO_ANNOUNCER_CHO_18,공통,여관주인,전승지기 초
6,VO_ANNOUNCER_CM_HELP_DECK_50,공통,여관주인,이건 제가 도와드릴 수 있습니다 어디 제가 몇 가지 제안을 드리죠
7,VO_ANNOUNCER_COLLECTION2_35,공통,여관주인,거기 카드 모음집이에요
8,VO_ANNOUNCER_DISCONNECT_45,공통,여관주인,상대가 떠났습니다
9,VO_ANNOUNCER_EPIC_26,공통,여관주인,영웅 카드
10,VO_ANNOUNCER_FOIL_C_29,공통,여관주인,황금 일반 카드
11,VO_ANNOUNCER_FOIL_E_31,공통,여관주인,황금 영웅 카드
12,VO_ANNOUNCER_FOIL_L_32,공통,여관주인,와우 황금 전설 카드
13,VO_ANNOUNCER_FOIL_R_30,공통,여관주인,황금 희귀 카드
14,VO_ANNOUNCER_GARROSH_09,공통,여관주인,가로쉬
15,VO_ANNOUNCER_GARROSH_09_ALT1,공통,여관주인,가로쉬
16,VO_ANNOUNCER_GARROSH_09_ALT2,공통,여관주인,가로쉬
17,VO_ANNOUNCER_GARROSH_10,공통,여관주인,가로쉬
18,VO_ANNOUNCER_GUL'DAN_13,공통,여관주인,굴단
19,VO_ANNOUNCER_GUL'DAN_13_ALT,공통,여관주인,굴단
20,VO_ANNOUNCER_GUL'DAN_13_ALT1,공통,여관주인,굴단
21,VO_ANNOUNCER_GUL'DAN_13_ALT2,공통,여관주인,굴단
22,VO_ANNOUNCER_HEMET_16,공통,여관주인,둘도 없는 우리 친구 헤멧 네싱워리
23,VO_ANNOUNCER_HOGGER_20,공통,여관주인,들창코
24,VO_ANNOUNCER_ILLIDAN_15,공통,여관주인,일리단 스톰레이지
25,VO_ANNOUNCER_JAINA_06,공통,여관주인,제이나
26,VO_ANNOUNCER_JAINA_06_ALT1,공통,여관주인,제이나
27,VO_ANNOUNCER_JAINA_06_ALT2,공통,여관주인,제이나
28,VO_ANNOUNCER_JAINA_07,공통,여관주인,제이나
29,VO_ANNOUNCER_LEGENDARY_25,공통,여관주인,전설 카드
30,VO_ANNOUNCER_MALFURION_14,공통,여관주인,말퓨리온
31,VO_ANNOUNCER_MALFURION_14_ALT1,공통,여관주인,말퓨리온
32,VO_ANNOUNCER_MALFURION_14_ALT2,공통,여관주인,말퓨리온
33,VO_ANNOUNCER_MALFURION_15,공통,여관주인,말퓨리온
34,VO_ANNOUNCER_MILLHOUSE_19,공통,여관주인,밀하우스 마나스톰
35,VO_ANNOUNCER_MUKLA_17,공통,여관주인,밀림의 왕 무클라
36,VO_ANNOUNCER_RARE_27,공통,여관주인,희귀 카드
37,VO_ANNOUNCER_REXXAR_08,공통,여관주인,렉사르
